"experiment_id","domain","value_head","stage","endpoint","seed","source_training_job_id","snapshot_epoch","checkpoint","evaluation_job_id","score","total","evaluation_state","evaluation_exit_code","evaluation_elapsed","val_valid","val_invalid","source_training_log","source_evaluation_log","source_validation_log","alternate_valid_job_ids","alternate_valid_log_paths"
"MAIN-TERM","block_grouping","off","stage1","final","534933607","20401192","62","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.922313/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_62_0.333","20489180","17","20","COMPLETED","0:0","00:04:32","17","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401192_Tr_block_grouping_block_grouping_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489180_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10TCP_src20401192_e0062.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489180_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10TCP_src20401192_e0062.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","923500475","20401195","58","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:03.058457/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905447-5194f74/snapshots/snapshot_58_0.333","20489181","18","20","COMPLETED","0:0","00:03:11","18","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401195_Tr_block_grouping_block_grouping_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489181_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10TCP_src20401195_e0058.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489181_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10TCP_src20401195_e0058.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","1073581256","20401189","73","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920504/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-1247c09/snapshots/snapshot_73_0.333","20489182","17","20","COMPLETED","0:0","00:03:12","17","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401189_Tr_block_grouping_block_grouping_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489182_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10TCP_src20401189_e0073.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489182_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10TCP_src20401189_e0073.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","1239739722","20401190","77","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920505/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-7d9a779/snapshots/snapshot_77_0.333","20489183","18","20","COMPLETED","0:0","00:02:59","18","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401190_Tr_block_grouping_block_grouping_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489183_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10TCP_src20401190_e0077.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489183_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10TCP_src20401190_e0077.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","1472491096","20401191","80","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920498/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-43e0a7a/snapshots/snapshot_80_0.333","20425151","18","20","COMPLETED","0:0","00:03:33","18","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401191_Tr_block_grouping_block_grouping_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425151_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10P_src20401191_e0080.txt","/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425151_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10P_src20401191_e0080.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","1510771779","20401194","84","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920887/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-17cc32a/snapshots/snapshot_84_0.333","20489184","16","20","COMPLETED","0:0","00:04:06","16","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401194_Tr_block_grouping_block_grouping_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489184_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10TCP_src20401194_e0084.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489184_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10TCP_src20401194_e0084.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","1963100312","20401187","94","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920511/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-2fc32f3/snapshots/snapshot_94_0.333","20489185","13","20","COMPLETED","0:0","00:04:18","13","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401187_Tr_block_grouping_block_grouping_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489185_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10TCP_src20401187_e0094.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489185_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10TCP_src20401187_e0094.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","1972442430","20401196","67","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:03.074053/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905447-72aea46/snapshots/snapshot_67_0.333","20489186","16","20","COMPLETED","0:0","00:03:39","16","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401196_Tr_block_grouping_block_grouping_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489186_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10TCP_src20401196_e0067.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489186_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10TCP_src20401196_e0067.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","2011206605","20401188","90","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920497/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-067843/snapshots/snapshot_90_0.500","20424871","17","20","COMPLETED","0:0","00:04:52","17","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401188_Tr_block_grouping_block_grouping_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424871_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0090.txt","/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424871_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0090.txt","",""
"MAIN-TERM","block_grouping","off","stage1","final","2082152039","20401193","68","/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping-2026-08-20T18:13:54.920514/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04905448-faf7d6/snapshots/snapshot_68_0.333","20489187","13","20","COMPLETED","0:0","00:05:02","13","0","/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401193_Tr_block_grouping_block_grouping_orig_novh_c.1_s2082152039_STATREP10_STAGE1.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489187_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10TCP_src20401193_e0068.txt","/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489187_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10TCP_src20401193_e0068.txt","",""
